voter,role,country,gender,voter_url
Nana Asfour,critic,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/269
Manuel Asín,critic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/369
Michael Atkinson,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/313
José Carlos Avellar,critic,Brazil,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/466
Senem Aytaç,critic,Turkey,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/110
Peter von Bagh,programmer,Finland/Italy,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/196
Peter Bagrov,academic,Russia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/207
Cameron Bailey,programmer,Canada,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/748
Robin Baker,archivist,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/145
Mohammed Bakrim,critic,Tunisia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/278
César Ballester,academic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/732
Nicolas Barbano,critic,Denmark,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/251
Florin Barbu,critic,Romania,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/605
Luciano Barisone,critic,Switzerland/Italy,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/382
Joslyn Barnes,other,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/456
Charles Barr,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/731
Gabriele Barrera,critic,Italy,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/592
Ruth Barton,academic,Ireland,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/133
Nico Baumbach,academic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/253
Michael Baute,critic,US/Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/312
Thomas Beard,programmer,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/62
Pavel Bednarik,programmer,Czech Republic,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/213
Ricardo Bedoya,critic,Peru,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/168
Robert Beeson,distributor,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/153
Lars-Olav Beier,critic,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/409
James Bell,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/518
Raymond Bellour,critic,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/174
Mustapha Benfodil,critic,Algeria,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/273
Ronald Bergan,critic,UK/France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/136
Philip Berk,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/193
Horacio Bernades,critic,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/540
Michael Berry,academic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/311
Paolo Bertolin,programmer,Italy,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/228
Kaushik Bhaumik,programmer,India,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/435
Pamela Biénzobas Saffie,critic,Chile,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/230
Anne Billson,critic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/798
Tibor Bíró,programmer,Hungary,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/57
Lizelle Bisschoff,academic,South Africa / UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/389
Moinak Biswas,academic,India,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/276
Anton Bitel,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/792
Stig Björkman,critic,Sweden,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/81
Iulia Blaga,critic,Romania,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/524
Marten Blomkvist,critic,Sweden,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/337
Hans-Michael Bock,critic,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/550
Maja Bogojevic,critic,Montenegro,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/374
Enrique Bolado,programmer,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/633
Carlos Bonfil,critic,Mexico,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/745
Guido Bonsaver,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/560
Martin Botha,academic,South Africa,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/333
Josephine Botting,archivist,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/458
Núria Bou,academic,Spain,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/239
Nick Bradshaw,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/259
Peter Bradshaw,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/206
Martin Brady,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/332
Tara Brady,critic,Ireland,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/67
Dorian Branea,programmer,Romania,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/652
Nicole Brenez,programmer,France,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/249
Mimi Brody,programmer,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/282
Richard Brody,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/167
Elisabeth Bronfen,academic,Switzerland,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/638
Michael Brooke,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/310
Will Brooker,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/13
Xan Brooks,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/10
Paul Buck,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/221
Noël Burch,critic,France / US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/243
Giulio Bursi,programmer,Italy,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/570
Edward Buscombe,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/644
Emilio Bustamante,academic,Peru,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/635
Pedro Butcher,critic,Brazil,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/211
Dave Calhoun,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/691
Dan Callahan,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/702
Alejandro G. Calvo,critic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/832
Alfonso Camacho Cordón,critic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/828
Fred Camper,critic; www.fredcamper.com,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/598
Henk Camping,programmer,Netherlands,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/545
José María Caparrós-Lera,academic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/462
Rolando Caputo,academic,Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/139
Martin Tudor Caranfil,critic,Romania,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/327
Edwin Carels,programmer,Netherlands,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/642
Michelle Carey,programmer,Australia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/293
Ray Carney,academic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/175
Noel Carroll,academic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/242
Robert Cashill,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/152
Massimo Causo,programmer,Italy,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/325
Dylan Cave,archivist,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/650
Michal Chacinski,programmer,Poland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/298
Billy Chainsaw,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/759
Anchalee Chaiworaporn,critic,Thailand,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/818
Michael Chanan,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/309
Bryan Chang,critic,Hong Kong,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/749
Chris Chang,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/725
Justin Chang,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/446
Jeon Chanil,programmer,South Korea,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/489
Tom Charity,critic,Canada,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/46
Carlo Chatrian,critic,Italy,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/746
Youssef Cherif Rizkallah,programmer,Egypt,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/4
Godfrey Cheshire,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/585
Li Cheuk-to,programmer,Hong Kong,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/396
Peggy Chiao,academic,Taiwan,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/210
Mihai Chirilov,programmer,Romania,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/288
Ian Christie,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/535
Jaime N Christley,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/520
Roberta Ciabarra,programmer,Australia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/147
José Luis Cienfuegos,programmer,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/465
Michel Ciment,critic,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/296
George Clark,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/580
Renata Clark,programmer,Czech Republic,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/170
Donald Clarke,critic,Ireland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/653
Roger Clarke,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/143
Joshua Clover,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/457
Robbie Collin,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/154
Andrew Collins,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/811
Richard Combs,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/166
Philip Concannon,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/192
Charlotte Cook,programmer,UK/Canada,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/727
Pam Cook,academic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/232
Karen Cooper,programmer,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/441
Kieron Corless,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/423
Richard Corliss,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/165
Jesús Cortés,critic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/488
Mark Cosgrove,programmer,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/348
José Manuel Costa,archivist,Portugal,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/463
Mark Cousins,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/347
Noah Cowan,programmer,Canada,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/245
David Cox,programmer,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/689
Alfonso Crespo Cuaresma,critic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/827
Fernando F Croce,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/614
Gary Crowdus,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/590
Sean Cubitt,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/113
Hussain Currimbhoy,programmer,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/538
David Curtis,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/688
Ludmila Cvikova,programmer,Netherlands,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/379
Diego Batlle,,Argentina,,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/661
Mike D'Angelo,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/287
Nevena Dakovic,academic,Serbia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/260
Shane Danielsen,critic,Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/103
Adrian Danks,academic,Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/843
Manohla Dargis,critic,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/372
Chris Darke,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/724
Sam Davies,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/126
Rhidian Davis,programmer,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/169
Thomas Dawson,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/61
Flavia de la Fuente,critic,Argentina,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/608
Inge de Leeuw,programmer,Netherlands,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/528
Gonzalo de Lucas,academic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/568
Brad Deane,programmer,Canada,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/756
Peter Debruge,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/205
Antonio Delgado,programmer,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/789
Maria M Delgado,academic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/354
Stéphane Delorme,critic,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/89
David Denby,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/687
Chris Dercon,programmer,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/723
Margaret Deriaz,distributor,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/357
Ally Derks,programmer,Netherlands,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/825
Eric Derobert,critic,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/632
Catharine Des Forges,programmer,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/737
Guy Désiré Yameogo,programmer,Burkina Faso,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/555
Agnès Devictor,academic,Iran,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/840
Helen Dewitt,programmer,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/547
Bruno Di Marino,critic,Italy,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/750
Manthia Diawara,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/371
Mar Diestro-Dópido,critic,UK/Spain,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/366
Ernesto Diezmartínez,critic,Mexico,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/628
Brian Dillon,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/754
Jan Distelmeyer,academic,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/512
Andrea Dittgen,critic,Germany,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/817
Philip Dodd,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/191
Thomas Doherty,academic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/60
Anton Dolin,critic,Russia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/791
Christine Dollhofer,programmer,Austria,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/718
Jože Dolmark,critic,Slovenia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/455
Kim Dong Ho,programmer,Korea,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/422
Dennis Doros,distributor,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/665
Atilla Dorsay,critic,Turkey,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/781
Lindiwe Dovey,academic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/393
Charles Drazin,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/730
Stefan Droessler,programmer,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/90
Mark Duguid,archivist,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/346
Sam Dunn,distributor,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/125
Amanda Duthie,programmer,Australia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/822
Rachel Dwyer,academic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/180
Geoff Dyer,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/582
Richard Dyer,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/164
Roger Ebert,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/142
Dimitri Eipides,programmer,Greece,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/658
Bernard Eisenschitz,critic,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/765
Noam M Elcott,academic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/244
Thomas P Elsaesser,academic,Netherlands,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/58
Amir Emary,critic,Egypt,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/820
Jim Emerson,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/486
Pam Engel,distributor,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/231
Gareth Evans,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/591
John Ewing,programmer,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/480
Joseph Fahim,critic,Egypt,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/460
Patrick Fahy,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/224
Dan Fainaru,critic,Israel,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/701
Edna Fainaru,critic,Israel,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/646
Gian Luca Farinelli,programmer,Italy,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/575
Andris Feldmanis,critic,Estonia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/805
Paula Félix-Didier,programmer,Argentina,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/214
Leslie Felperin,critic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/397
Cristina Fernandes,critic,Portugal,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/706
Ferroni Brigade,critic,Austria/Germany,,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/611
David Filipi,programmer,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/685
Robert Fischer,critic,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/151
Mark Fisher,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/345
Matthew Flanagan,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/324
John Flaus,critic,Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/479
David Flint,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/684
David Forgacs,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/683
Ambrosio Fornet,critic,Cuba,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/821
Scott Foundas,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/115
Víctor Fowler Calzada,critic,Cuba,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/26
Christopher Fowler,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/716
William Fowler,archivist,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/11
Daniel Frampton,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/697
Ian Francis,programmer,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/534
Lizzie Francke,programmer,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/388
Christopher Frayling,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/715
