voter,role,country,gender,voter_url
Eugène Green,director,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/941
Paul Greengrass,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1110
Valeska Grisebach,director,Germany,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1190
Rajko Grlic,director,Croatia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1136
Luca Guadagnino,director,Italy,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1039
José Luis Guerín,director,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1005
Patricio Guzmán,director,Chile,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1106
Mani Haghighi,director,Iran,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1045
Andrew Haigh,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/868
Marwan Hamed,director,Egypt,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1059
Mia Hansen-Løve,director,France,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1064
David Hare,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/925
Michel Hazanavicius,director,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1205
Monte Hellman,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1083
Kore-eda Hirokazu,director,Japan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1027
Christoph Hochhäusler,director,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/914
Mike Hodges,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1074
PJ Hogan,director,Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1133
Joanna Hogg,director,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/996
Agnieszka Holland,director,Poland,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/851
Ben Hopkins,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/896
Duane Hopkins,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/932
Ann Hui,director,China,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/876
Neil Hunter,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1089
Ik-June Yang,director,South Korea,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/974
Isamu Hirabayashi,director,Japan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/978
Annemarie Jacir,director,Palestine,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/878
Babak Jalali,director,Iran,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/891
Julian Jarrold,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1015
Han Jie,director,China,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/967
Cristián Jiménez,director,Chile,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/918
Terry Jones,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1182
William E Jones,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1198
Bong Joon-ho,director,South Korea,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/902
Khalil Joreige,director,Lebanon,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1023
Radu Jude,director,Romania,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1135
Miranda July,director,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1080
Gaston Kaboré,director,Burkina Faso,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/954
Vlado Skafar,director,Slovenia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1193
Wanuri Kahiu,director,Kenya,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1195
Asif Kapadia,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/887
Lawrence Kasdan,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1032
Anurag Kashyap,director,India,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/882
Aaron Katz,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/847
Lloyd Kaufman,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1036
Aki Kaurismäki,director,Finland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/853
Mika Kaurismäki,director,Finland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1071
Patrick Keiller,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1107
Fred Kelemen,director,Germany/Hungary,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/949
Lodge Kerrigan,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1037
Hammad Khan,director,Pakistan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/966
Mohamed Khan,director,Egypt/Pakistan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1082
Anja Kirschner,director,UK/Germany,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/875
