selection_manual_fix,weighted_votes
I Was A Teenage Serial Killer,1
Ici Et Ailleurs,1
If Beale Street Could Talk,1
If....,1
Imitation Of Life: 1934,1
In Einem Jahr Mit 13 Monden,1
In The Cut,1
In The Last Days Of The City,1
In Vanda's Room,1
Innocence,1
Inside The Red Brick Wall,1
Intolerance,1
Irréversible,1
Ivanovo Detstvo,1
Jalal Jido Mot Hamyeonseo,1
Jalsaghar,1
Jaws,1
"Je T’aime, Je T’aime",1
Kauas Pilvet Karkaavat,1
"Khroustaliov, Ma Voiture!",1
Kiga Kaikyo,1
Kill Bill  Vol. 1,1
Killer Of Sheep,1
King Lear: 1987,1
Kisap Mata: 1982,1
Kokaku Kidotai,1
Kongbufenzi,1
Koroshi No Rakuin,1
Koyaanisqatsi: Life Out Of Balance,1
Krótki Film O Milosci,1
Krylya,1
Kuroi Ame,1
L' Albero Degli Zoccoli,1
L' Ange,1
L' Étrange Couleur Des Larmes De Ton Corps,1
L' Hypothèse Du Tableau Volé,1
La Belle Noiseuse,1
La Carrozza D'oro,1
La Ciénaga,1
La Double Vie De Véronique,1
La Flor,1
La Graine Et Le Mulet,1
La Marge,1
La Ronde,1
La Terra Trema,1
Lady Bird,1
Lan Xin Da Ju Yuan,1
Lawrence Of Arabia,1
Lazzaro Felice,1
Le Boucher,1
Le Crime De M. Lange,1
Le Diable Probablement,1
Le Fils,1
Le Salaire De La Peur,1
Le Vent D'est,1
Léon,1
Les Âmes Mortes,1
Les Demoiselles De Rochefort,1
Les Enfants Du Paradis,1
Les Sièges De L'alcazar,1
Les Silences Du Palais,1
Les Uns Et Les Autres,1
Let The Bullets Fly,1
Limelight,1
Liu Pi-Chia,1
Los Angeles Plays Itself,1
Los Traidores,1
Lost In Translation,1
Lucia,1
Ludwig,1
Mad Max,1
Madame Freedom,1
Mädchen In Uniform,1
Made In Hong Kong,1
Mandala,1
Manila By Night,1
Maqbool,1
Mar Adentro,1
Masculin Féminin  15 Faits Précis,1
Mashgh-E Shab,1
Mathilukal,1
Matir Moina,1
Matka Joanna Od Aniolow,1
